DATE,CODE INSEE,REGION,PRODUCTION,POMPAGE,ECHANGE,CONSOMMATION
2015-03,27,Bourgogne-Franche-Comté,287906,252,-1520922,1808576
2015-03,94,Corse,152678,,-60331,213009
2015-04,27,Bourgogne-Franche-Comté,203005,521,-1467697,1670181
2015-04,75,Nouvelle-Aquitaine,3988105,,709429,3278676
2015-04,93,Provence-Alpes-Côte d'Azur,1144597,483,-1952259,3096373
2015-04,94,Corse,130809,,-31933,162742
2015-05,84,Auvergne-Rhône-Alpes,10145273,383616,4922486,4839171
2015-05,94,Corse,100490,,-41035,141525
2015-06,75,Nouvelle-Aquitaine,2631926,,-338672,2970598
2015-06,84,Auvergne-Rhône-Alpes,10056757,316681,4891684,4848392
2015-07,11,Ile-de-France,105471,,-4798074,4903545
2015-07,27,Bourgogne-Franche-Comté,125507,1731,-1410722,1534498
2015-07,93,Provence-Alpes-Côte d'Azur,1106762,1,-2288961,3395722
2015-08,44,Grand-Est,8890402,105612,5791661,2993129
2015-08,52,Pays de la Loire,244738,,-1491991,1736729
2015-08,76,Occitanie,1665420,172948,-1029583,2522055
2015-09,27,Bourgogne-Franche-Comté,165162,3657,-1368986,1530491
2015-09,44,Grand-Est,7858023,83453,4413417,3361153
2015-09,93,Provence-Alpes-Côte d'Azur,1160928,22,-1768617,2929523
2015-10,11,Ile-de-France,135120,,-5906811,6041931
2015-10,24,Centre-Val de Loire,5850661,,4310569,1540092
2015-10,28,Normandie,5902580,,3612442,2290138
2015-10,32,Hauts-de-France,4014934,,-348478,4363412
2015-10,75,Nouvelle-Aquitaine,4848995,,1339867,3509128
2015-10,94,Corse,102626,,-48081,150707
2015-11,24,Centre-Val de Loire,6089963,,4482598,1607365
2015-11,27,Bourgogne-Franche-Comté,231325,3483,-1662184,1890026
2015-11,28,Normandie,6061817,,3686331,2375486
2015-11,75,Nouvelle-Aquitaine,5034165,,1375943,3658222
2015-11,84,Auvergne-Rhône-Alpes,9258427,288144,3141281,5829002
2015-12,11,Ile-de-France,450906,,-6327825,6778731
2015-12,27,Bourgogne-Franche-Comté,253648,1115,-1796266,2048799
2015-12,28,Normandie,6502296,,3963180,2539116
2015-12,52,Pays de la Loire,573457,,-1962989,2536446
2015-12,53,Bretagne,428500,4882,-1617739,2041357
2015-12,93,Provence-Alpes-Côte d'Azur,1376257,1,-2609434,3985690
2016-01,28,Normandie,6117802,,3149542,2968260
2016-01,93,Provence-Alpes-Côte d'Azur,1412617,0,-2908346,4320962
2016-02,24,Centre-Val de Loire,8209460,,6299565,1909895
2016-02,44,Grand-Est,9739149,99841,5253386,4385923
2016-02,32,Hauts-de-France,4273973,,-578987,4852960
2016-02,11,Ile-de-France,452313,,-6673394,7125707
2016-02,76,Occitanie,3391792,156892,-386856,3621756
2016-03,28,Normandie,6399829,,3562440,2837390
2016-03,76,Occitanie,3711159,146648,-110121,3674633
2016-04,84,Auvergne-Rhône-Alpes,9636147,304366,3900029,5431751
2016-04,75,Nouvelle-Aquitaine,3920069,,338662,3581407
2016-04,52,Pays de la Loire,418672,,-1922471,2341142
2016-05,84,Auvergne-Rhône-Alpes,9792862,306843,4511908,4974111
2016-05,32,Hauts-de-France,3172942,,-629289,3802231
2016-05,93,Provence-Alpes-Côte d'Azur,1419437,123,-1500135,2919450
2016-06,24,Centre-Val de Loire,5550384,,4342677,1207706
2016-07,44,Grand-Est,8262764,101157,4893836,3267771
2016-07,28,Normandie,4964972,,3029107,1935865
2016-07,76,Occitanie,2878598,139037,-18002,2757563
2016-08,84,Auvergne-Rhône-Alpes,6788743,263932,2089442,4435370
2016-08,53,Bretagne,191598,5106,-1253218,1439711
2016-08,94,Corse,137413,,-50834,188246
2016-08,44,Grand-Est,7725514,100539,4582252,3042724
2016-09,75,Nouvelle-Aquitaine,3248992,,275593,2973399
2016-09,52,Pays de la Loire,320956,,-1512897,1833852
2016-09,93,Provence-Alpes-Côte d'Azur,1748157,1,-1222994,2971150
2016-10,32,Hauts-de-France,3159209,,-1076767,4235977
2016-10,76,Occitanie,2725926,98050,-200813,2828689
2016-10,93,Provence-Alpes-Côte d'Azur,2086719,7,-1062229,3148941
2016-11,11,Ile-de-France,638606,,-6227547,6866153
2016-11,28,Normandie,5750957,,3098666,2652291
