,annee,consommation,consommation_normale,energie,epci,nom_epci,secteur
144,2005,26324.13,26993.38,GN,200037133,CC du Provinois,TER
145,2005,0.0,0.0,ELEC,200037133,CC du Provinois,TRAF
146,2005,251083.99999999997,251083.99999999997,PP_CMS,200037133,CC du Provinois,TRAF
147,2005,0.0,0.0,URB,200037133,CC du Provinois,TRAF
148,2005,0.0,0.0,BOIS,200037133,CC du Provinois,TRAF
149,2005,0.0,0.0,GN,200037133,CC du Provinois,TRAF
150,2005,2522.8999999999996,2522.8999999999996,ELEC,200040251,CC Bassée-Montois,AGR
151,2005,20616.800000000003,20616.800000000003,PP_CMS,200040251,CC Bassée-Montois,AGR
152,2005,0.0,0.0,URB,200040251,CC Bassée-Montois,AGR
153,2005,0.0,0.0,BOIS,200040251,CC Bassée-Montois,AGR
154,2005,2809.78,2809.78,GN,200040251,CC Bassée-Montois,AGR
155,2005,17210.52,17210.52,ELEC,200040251,CC Bassée-Montois,IND
156,2005,3479.649999999999,3479.649999999999,PP_CMS,200040251,CC Bassée-Montois,IND
157,2005,0.0,0.0,URB,200040251,CC Bassée-Montois,IND
158,2005,0.0,0.0,BOIS,200040251,CC Bassée-Montois,IND
159,2005,26979.15,26979.15,GN,200040251,CC Bassée-Montois,IND
160,2005,85672.17000000001,86495.70999999999,ELEC,200040251,CC Bassée-Montois,RES
161,2005,82384.69999999998,84854.36000000002,PP_CMS,200040251,CC Bassée-Montois,RES
162,2005,0.0,0.0,URB,200040251,CC Bassée-Montois,RES
163,2005,35766.100000000006,36960.719999999994,BOIS,200040251,CC Bassée-Montois,RES
164,2005,54724.68,56165.82,GN,200040251,CC Bassée-Montois,RES
165,2005,17375.300000000003,17456.6,ELEC,200040251,CC Bassée-Montois,TER
166,2005,3971.9400000000005,4066.240000000001,PP_CMS,200040251,CC Bassée-Montois,TER
167,2005,0.0,0.0,URB,200040251,CC Bassée-Montois,TER
168,2005,0.0,0.0,BOIS,200040251,CC Bassée-Montois,TER
169,2005,7931.26,8133.589999999999,GN,200040251,CC Bassée-Montois,TER
170,2005,0.0,0.0,ELEC,200040251,CC Bassée-Montois,TRAF
171,2005,73715.11000000002,73715.11000000002,PP_CMS,200040251,CC Bassée-Montois,TRAF
172,2005,0.0,0.0,URB,200040251,CC Bassée-Montois,TRAF
173,2005,0.0,0.0,BOIS,200040251,CC Bassée-Montois,TRAF
174,2005,0.0,0.0,GN,200040251,CC Bassée-Montois,TRAF
175,2005,2651.54,2651.54,ELEC,200055655,CA Roissy Pays de France,AGR
176,2005,16891.91,16891.91,PP_CMS,200055655,CA Roissy Pays de France,AGR
177,2005,0.0,0.0,URB,200055655,CA Roissy Pays de France,AGR
178,2005,0.0,0.0,BOIS,200055655,CA Roissy Pays de France,AGR
179,2005,27082.81,27082.81,GN,200055655,CA Roissy Pays de France,AGR
180,2005,174555.2,174555.2,ELEC,200055655,CA Roissy Pays de France,IND
181,2005,15027.319999999998,15027.319999999998,PP_CMS,200055655,CA Roissy Pays de France,IND
182,2005,0.0,0.0,URB,200055655,CA Roissy Pays de France,IND
183,2005,0.0,0.0,BOIS,200055655,CA Roissy Pays de France,IND
184,2005,1421486.7000000002,1421486.7000000002,GN,200055655,CA Roissy Pays de France,IND
185,2005,757885.3300000001,764878.2300000001,ELEC,200055655,CA Roissy Pays de France,RES
186,2005,241698.81,248203.49000000005,PP_CMS,200055655,CA Roissy Pays de France,RES
187,2005,281429.62,288653.17,URB,200055655,CA Roissy Pays de France,RES
188,2005,119278.93999999999,123263.00000000001,BOIS,200055655,CA Roissy Pays de France,RES
189,2005,1321321.5899999996,1355857.5500000003,GN,200055655,CA Roissy Pays de France,RES
190,2005,975975.7100000001,979596.14,ELEC,200055655,CA Roissy Pays de France,TER
191,2005,224306.61000000007,228857.27000000002,PP_CMS,200055655,CA Roissy Pays de France,TER
192,2005,84264.17,86539.23,URB,200055655,CA Roissy Pays de France,TER
193,2005,0.0,0.0,BOIS,200055655,CA Roissy Pays de France,TER
194,2005,419520.73000000004,430452.2499999999,GN,200055655,CA Roissy Pays de France,TER
195,2005,0.0,0.0,ELEC,200055655,CA Roissy Pays de France,TRAF
196,2005,2264962.230000001,2264962.230000001,PP_CMS,200055655,CA Roissy Pays de France,TRAF
197,2005,0.0,0.0,URB,200055655,CA Roissy Pays de France,TRAF
198,2005,0.0,0.0,BOIS,200055655,CA Roissy Pays de France,TRAF
199,2005,0.0,0.0,GN,200055655,CA Roissy Pays de France,TRAF
200,2005,174.19,174.19,ELEC,200057958,CA Paris - Vallée de la Marne,AGR
201,2005,1777.28,1777.28,PP_CMS,200057958,CA Paris - Vallée de la Marne,AGR
202,2005,0.0,0.0,URB,200057958,CA Paris - Vallée de la Marne,AGR
203,2005,0.0,0.0,BOIS,200057958,CA Paris - Vallée de la Marne,AGR
204,2005,0.0,0.0,GN,200057958,CA Paris - Vallée de la Marne,AGR
205,2005,97530.78999999998,97530.78999999998,ELEC,200057958,CA Paris - Vallée de la Marne,IND
206,2005,27603.489999999994,27603.489999999994,PP_CMS,200057958,CA Paris - Vallée de la Marne,IND
207,2005,0.0,0.0,URB,200057958,CA Paris - Vallée de la Marne,IND
208,2005,0.0,0.0,BOIS,200057958,CA Paris - Vallée de la Marne,IND
209,2005,184496.44000000003,184496.44000000003,GN,200057958,CA Paris - Vallée de la Marne,IND
210,2005,518376.69999999995,523079.61,ELEC,200057958,CA Paris - Vallée de la Marne,RES
211,2005,105327.18000000002,108051.26000000001,PP_CMS,200057958,CA Paris - Vallée de la Marne,RES
212,2005,76191.14,78174.79000000001,URB,200057958,CA Paris - Vallée de la Marne,RES
213,2005,135956.7,140497.78,BOIS,200057958,CA Paris - Vallée de la Marne,RES
214,2005,991635.8900000001,1018234.8200000001,GN,200057958,CA Paris - Vallée de la Marne,RES
215,2005,412348.41,414219.51,ELEC,200057958,CA Paris - Vallée de la Marne,TER
216,2005,77302.51,79232.05,PP_CMS,200057958,CA Paris - Vallée de la Marne,TER
217,2005,30121.57,30913.120000000003,URB,200057958,CA Paris - Vallée de la Marne,TER
218,2005,0.0,0.0,BOIS,200057958,CA Paris - Vallée de la Marne,TER
219,2005,282832.19,290192.49999999994,GN,200057958,CA Paris - Vallée de la Marne,TER
220,2005,0.0,0.0,ELEC,200057958,CA Paris - Vallée de la Marne,TRAF
221,2005,1109892.47,1109892.47,PP_CMS,200057958,CA Paris - Vallée de la Marne,TRAF
222,2005,0.0,0.0,URB,200057958,CA Paris - Vallée de la Marne,TRAF
223,2005,0.0,0.0,BOIS,200057958,CA Paris - Vallée de la Marne,TRAF
224,2005,0.0,0.0,GN,200057958,CA Paris - Vallée de la Marne,TRAF
225,2005,933.3199999999999,933.3199999999999,ELEC,200059228,CA Grand Paris Sud Seine Essonne Sénart,AGR
226,2005,5535.870000000001,5535.870000000001,PP_CMS,200059228,CA Grand Paris Sud Seine Essonne Sénart,AGR
227,2005,0.0,0.0,URB,200059228,CA Grand Paris Sud Seine Essonne Sénart,AGR
